Word	TF-IDF Score
streaming	5.790459373321115
watch	4.0704003485804945
date	3.2650594262769075
hulu	3.1447580532481414
horror	3.0619050578288176
release	2.658806565712264
home	2.5879005123006493
new	2.1718300935099735
halloween	2.1253317676433094
week	2.1089900009472164
2024	1.9960263994898249
minutes	1.973539468123223
movies	1.933920713017599
moore	1.7853647064019502
demi	1.7853647064019502
free	1.759851686449601
online	1.757033936347742
revealed	1.7441896954612863
film	1.6501843434641352
thriller	1.6350525509308056
