Word	TF-IDF Score
sequel	3.643922822440733
movie	2.769919137983109
ridley	2.743172181083501
scott	2.743172181083501
new	2.456290684940577
predator	2.3352850358960815
earth	1.7301524542413915
developing	1.3795453947116567
2025	1.3495676608897307
director	1.2272017941387123
getting	1.0878979748321855
working	1.0473310284348734
reveals	1.0209590012893734
works	1.0185077302400707
teaser	0.9903143741753386
century	0.9777479004910142
secret	0.9777479004910142
studios	0.9777479004910142
20th	0.9777479004910142
vs	0.9590465960675747
